lat_ctr,lng_ctr,lat_pt,lng_pt,StopName,UsedByRoute
48.934045,24.706639,48.934045,24.706639,Музична школа,4
48.931193,24.708088,48.931193,24.708086,Швейна фабрика,4
48.92714,24.709515,48.92714,24.709515,вулиця Військових Ветеранів,4
48.949859,24.711541,48.949859,24.711541,ТРОЛЕЙБУСНЕ ДЕПО,5
48.949162,24.708802,48.949153,24.708799,Депо,5
48.947391,24.704247,48.947386,24.704245,вулиця Тролейбусна,5
48.944896,24.700416,48.944896,24.700416,Школа №18,5
48.941934,24.698204,48.941935,24.698204,"р-н ""Овен""",5
48.93991,24.701382,48.93991,24.701382,вулиця Ю. Целевича,5
48.934045,24.706639,48.934045,24.706639,Музична школа,5
48.931193,24.708088,48.931193,24.708086,Швейна фабрика,5
48.92714,24.709515,48.92714,24.709515,вулиця Військових Ветеранів,5
48.92582,24.713051,48.92582,24.713051,Ринок,5
48.928853,24.713552,48.928853,24.713552,вулиця Василіянок,5
48.932098,24.707751,48.932098,24.707751,"""Княгинин""",5
48.940222,24.701047,48.940222,24.701047,вулиця Целевича,5
48.947153,24.703996,48.947153,24.703989,вулиця Тролейбусна,5
48.949143,24.708994,48.949142,24.709001,Депо,5
48.944366,24.691472,48.944366,24.691472,АС-2,6
48.94864,24.696203,48.94864,24.696203,Радіозавод - вулиця Хіміків,6
48.947463,24.70152,48.947464,24.701525,вулиця Хіміків - Тролейбусна,6
48.944896,24.700416,48.944896,24.700416,Школа №18,6
48.941934,24.698204,48.941935,24.698204,"р-н ""Овен""",6
48.93991,24.701382,48.93991,24.701382,вулиця Ю. Целевича,6
48.934045,24.706639,48.934045,24.706639,Музична школа,6
48.931193,24.708088,48.931193,24.708086,Швейна фабрика,6
48.92714,24.709515,48.92714,24.709515,вулиця Військових Ветеранів,6
48.92582,24.713051,48.92582,24.713051,Ринок,6
48.926208,24.716751,48.926202,24.716749,КРОК,6
48.924573,24.723276,48.924567,24.723274,Вокзал (в бік ЄП),6
48.918739,24.717382,48.91874,24.717379,"готель ""Надія""",6
48.918578,24.715047,48.918577,24.715046,вулиця Мельника,6
48.914602,24.713566,48.914602,24.713566,вулиця Академіка Сахарова,6
48.913133,24.716281,48.913134,24.716271,"СК ""Колос""",6
48.908396,24.715454,48.908396,24.715454,АТП,6
48.904972,24.713085,48.904972,24.713085,площа Європейська,6
48.907143,24.715113,48.907143,24.715113,Комерційний коледж,6
48.915235,24.718456,48.915233,24.718458,Станція переливання крові,6
48.925857,24.722887,48.925855,24.722874,Вокзал (в бік Пасічної),6
48.926259,24.716631,48.926259,24.716631,Крок,6
48.928853,24.713552,48.928853,24.713552,вулиця Василіянок,6
48.932098,24.707751,48.932098,24.707751,"""Княгинин""",6
48.940222,24.701047,48.940222,24.701047,вулиця Целевича,6
48.943246,24.696394,48.943245,24.69639,вулиця Пасічна,6
48.936408,24.755723,48.936402,24.755724,м-н Каскад,7
48.936896,24.749286,48.936901,24.749283,вулиця Миколайчука,7
48.935672,24.744536,48.935672,24.744536,"вулиця В. Стуса (Ринок ""Східний"")",7
48.93486,24.742804,48.93486,24.742804,"магазин ""Барвінок""",7
48.931394,24.742972,48.931394,24.742972,"ТЦ ""Епіцентр"" (вул. Івасюка - Івана Павла ІІ)",7
48.928282,24.743077,48.928287,24.743071,вулиця Івасюка,7
48.923801,24.743212,48.923803,24.743209,вулиця Хоткевича,7
48.918606,24.742514,48.918606,24.742514,вулиця Кисілевської,7
48.916295,24.733237,48.916299,24.733232,Школа №15,7
48.918048,24.72198,48.918048,24.72198,"кінотеатр ""Космос""",7
48.918739,24.717382,48.91874,24.717379,"готель ""Надія""",7
48.918578,24.715047,48.918577,24.715046,вулиця Мельника,7
48.914602,24.713566,48.914602,24.713566,вулиця Академіка Сахарова,7
48.913133,24.716281,48.913134,24.716271,"СК ""Колос""",7
48.908396,24.715454,48.908396,24.715454,АТП,7
48.904972,24.713085,48.904972,24.713085,площа Європейська,7
48.907143,24.715113,48.907143,24.715113,Комерційний коледж,7
48.915235,24.718456,48.915233,24.718458,Станція переливання крові,7
48.917823,24.722793,48.917823,24.722793,"кінотеатр ""Космос""",7
48.916028,24.734465,48.916032,24.734461,Школа №15,7
48.91934,24.742797,48.91934,24.742797,вулиця Кисілевської,7
48.924385,24.743307,48.924383,24.74331,вулиця Хоткевича,7
48.928609,24.74318,48.928609,24.743178,вулиця Івасюка,7
48.932756,24.74301,48.932756,24.74301,"ТРЦ ""Арсен"" (вул. Івасюка - Івана Павла ІІ)",7
48.935884,24.74401,48.935886,24.744009,вулиця Стуса (Гранд базар),7
48.936674,24.7491,48.936672,24.749093,вулиця Миколайчука,7
48.937111,24.753623,48.937111,24.753622,"""Каскад""",7
48.941254,24.740694,48.941254,24.740694,"АТ ""Родон""",10
48.941028,24.745502,48.941028,24.745502,вулиця Симоненка,10
48.938911,24.74978,48.938911,24.74978,вулиця Бугая,10
48.936896,24.749286,48.936901,24.749283,вулиця Миколайчука,10
48.935672,24.744536,48.935672,24.744536,"вулиця В. Стуса (Ринок ""Східний"")",10
48.931394,24.742972,48.931394,24.742972,"ТЦ ""Епіцентр"" (вул. Івасюка - Івана Павла ІІ)",10
48.928282,24.743077,48.928287,24.743071,вулиця Івасюка,10
48.923801,24.743212,48.923803,24.743209,вулиця Хоткевича,10
48.918606,24.742514,48.918606,24.742514,вулиця Кисілевської,10
48.914004,24.747381,48.914036,24.747401,вулиця Декабристів,10
48.912345,24.758394,48.912339,24.758404,с. Угорники,10
48.910552,24.764369,48.910537,24.764368,АС-4,10
48.905883,24.761257,48.905883,24.761259,Управління патрульної поліції,10
48.902467,24.758827,48.902467,24.758827,АТП,10
48.894583,24.753326,48.894554,24.753328,"""Автоливмаш""",10
48.890954,24.749425,48.890954,24.749425,"""Пресмаш""",10
48.890347,24.747584,48.890347,24.747584,"""Пресмаш"" розворотне кільце",10
48.891368,24.7503,48.891368,24.7503,"""Пресмаш"" в центр",10
48.895586,24.754153,48.895586,24.754153,"""Автоливмаш""",10
48.902911,24.759273,48.902911,24.759273,АТП,10
48.907036,24.76218,48.907036,24.76218,Управління патрульної поліції,10
48.910048,24.764175,48.91004,24.764174,АС-4,10
48.912723,24.756429,48.912723,24.756431,с. Угорники,10
48.913881,24.748968,48.913878,24.748971,вулиця Декабристів,10
48.91934,24.742797,48.91934,24.742797,вулиця Кисілевської,10
48.924385,24.743307,48.924383,24.74331,вулиця Хоткевича,10
48.928609,24.74318,48.928609,24.743178,вулиця Івасюка,10
48.932756,24.74301,48.932756,24.74301,"ТРЦ ""Арсен"" (вул. Івасюка - Івана Павла ІІ)",10
48.93628,24.742415,48.93628,24.742415,вулиця В. Стуса,10
48.939508,24.738996,48.939507,24.738992,вулиця Вовчинецька,10
48.866011,24.694651,48.865983,24.694662,Житловий масив,21
48.86755,24.696766,48.867548,24.696765,Онкодиспансер (в місто)КОНТРОЛЬНА,21
48.869106,24.702696,48.869107,24.702689,Психоневрологічний диспансер (в місто),21
48.873021,24.706102,48.873015,24.706103,СТО(в місто),21
48.876373,24.706791,48.876375,24.706787,АЗС(в місто),21
48.880879,24.709252,48.880874,24.709253,селище Опришівці - центр (в  місто),21
48.884991,24.710547,48.884993,24.710552,селище Опришівці (в місто),21
48.88819,24.711219,48.888189,24.711209,Аеропорт (в центр),21
48.89309,24.713059,48.893091,24.713057,вулиця Рильського(в місто),21
48.896556,24.713158,48.896553,24.713161,"ПАТ ""Арматурний завод"" (в місто)",21
48.900088,24.713176,48.90009,24.71317,"КП ""Водоекотехпром""(в місто)",21
48.902047,24.708642,48.902048,24.708642,Хлібокомбінат,21
48.902657,24.702459,48.90266,24.702448,УТОС,21
48.903438,24.698231,48.903438,24.698231,Кільце вулиця Петлюри,21
48.904914,24.698029,48.904916,24.698026,Школа - інтернат,21
48.906413,24.698334,48.906412,24.69833,"Стадіон ""Рух""",21
48.912042,24.699881,48.912045,24.69988,парк ім. Шевченка,21
48.915035,24.703548,48.915038,24.703542,Університет,21
48.918442,24.707166,48.918437,24.707167,на вимогу,21
48.919672,24.707547,48.919664,24.707539,Головна пошта,21
48.923199,24.706815,48.923201,24.706816,Бастіон,21
48.92494,24.710686,48.92494,24.710686,"""ЦУМ"" вулиця Дністровська",21
48.92582,24.713051,48.92582,24.713051,Ринок,21
48.926208,24.716751,48.926202,24.716749,КРОК,21
48.924573,24.723276,48.924567,24.723274,Вокзал (в бік ЄП),21
48.920643,24.71945,48.920643,24.71945,вулиця Б. Лепкого,21
48.918739,24.717382,48.91874,24.717379,"готель ""Надія""",21
48.917445,24.710843,48.917443,24.710845,вулиця Є. Коновальця,21
48.913048,24.709738,48.913048,24.709738,вулиця Військова,21
48.909959,24.710996,48.909959,24.710995,вулиця Національної гвардії,21
48.907438,24.712202,48.907442,24.712195,Дитяча лікарня,21
48.902939,24.713082,48.902935,24.71309,"ТЦ ""Велмарт""",21
48.89971,24.71306,48.899708,24.713064,"КП ""Водоекотехпром""",21
48.896195,24.713047,48.896196,24.713045,"ПАТ ""Арматурний завод""",21
48.892581,24.712797,48.892578,24.712793,вулиця Рильського,21
48.88843,24.711152,48.888429,24.711142,Аеропорт,21
48.884343,24.710282,48.884335,24.710277,Опришівці,21
48.880385,24.708745,48.880391,24.70875,селище Опришківці - центр,21
48.875816,24.706566,48.875814,24.706565,АЗС,21
48.872327,24.70588,48.87234,24.70588,СТО,21
48.869156,24.702288,48.869153,24.702291,Психоневрологічний диспансер,21
48.867587,24.696705,48.867583,24.696708,Онкодиспансер,21
48.922857,24.741882,48.922856,24.741885,вулиця Г. Хоткевича (кінцева),22
48.923659,24.737718,48.923658,24.737723,Ринок (в центр),22
48.924707,24.732664,48.924705,24.732659,вулиця Української дивізії,22
48.926864,24.726598,48.926865,24.726603,вулиця Старицького,22
48.924573,24.723276,48.924567,24.723274,Вокзал (в бік ЄП),22
48.918739,24.717382,48.91874,24.717379,"готель ""Надія""",22
48.919672,24.707547,48.919664,24.707539,Головна пошта,22
48.923199,24.706815,48.923201,24.706816,Бастіон,22
48.92536,24.709875,48.925363,24.709877,ЦУМ,22
48.932098,24.707751,48.932098,24.707751,"""Княгинин""",22
48.940222,24.701047,48.940222,24.701047,вулиця Целевича,22
48.943246,24.696394,48.943245,24.69639,вулиця Пасічна,22
48.944366,24.691472,48.944366,24.691472,АС-2,22
48.94864,24.696203,48.94864,24.696203,Радіозавод - вулиця Хіміків,22
48.947463,24.70152,48.947464,24.701525,вулиця Хіміків - Тролейбусна,22
48.944896,24.700416,48.944896,24.700416,Школа №18,22
48.941934,24.698204,48.941935,24.698204,"р-н ""Овен""",22
48.93991,24.701382,48.93991,24.701382,вулиця Ю. Целевича,22
48.934045,24.706639,48.934045,24.706639,Музична школа,22
48.931193,24.708088,48.931193,24.708086,Швейна фабрика,22
48.92714,24.709515,48.92714,24.709515,вулиця Військових Ветеранів,22
48.92494,24.710686,48.92494,24.710686,"""ЦУМ"" вулиця Дністровська",22
48.92582,24.713051,48.92582,24.713051,Ринок,22
48.92355,24.720589,48.923546,24.720587,вулиця Гаркуші,22
48.925857,24.722887,48.925855,24.722874,Вокзал (в бік Пасічної),22
48.925624,24.728731,48.925621,24.728725,Гаражі (вулиця Г.Хоткевича),22
48.924538,24.733179,48.924541,24.733176,вулиця Української Дивізії,22
48.923874,24.736598,48.923868,24.736598,Базар,22
48.924385,24.743307,48.924383,24.74331,вулиця Хоткевича,22
48.928609,24.74318,48.928609,24.743178,вулиця Івасюка,22
48.935672,24.744536,48.935672,24.744536,"вулиця В. Стуса (Ринок ""Східний"")",22
48.93486,24.742804,48.93486,24.742804,"магазин ""Барвінок""",22
48.931394,24.742972,48.931394,24.742972,"ТЦ ""Епіцентр"" (вул. Івасюка - Івана Павла ІІ)",22
48.928282,24.743077,48.928287,24.743071,вулиця Івасюка,22
48.923801,24.743212,48.923803,24.743209,вулиця Хоткевича,22
48.92294,24.741078,48.922934,24.741078,вулиця Хоткевича,23
48.918606,24.742514,48.918606,24.742514,вулиця Кисілевської,23
48.916295,24.733237,48.916299,24.733232,Школа №15,23
48.918048,24.72198,48.918048,24.72198,"кінотеатр ""Космос""",23
48.918739,24.717382,48.91874,24.717379,"готель ""Надія""",23
48.918233,24.706897,48.918234,24.706895,вулиця Чорновола,23
48.914569,24.702506,48.914574,24.702516,Університет,23
48.911994,24.699723,48.911995,24.699722,Парк ім. Шевченка,23
48.907045,24.698305,48.907046,24.698306,"Стадіон ""Рух""",23
48.904259,24.697588,48.904262,24.697581,Школа-інтернат,23
48.90346,24.693989,48.903457,24.693986,Церква,23
48.903108,24.687627,48.903107,24.68763,Обласний призовний пункт,23
48.904977,24.682473,48.904976,24.682477,Кільце вулиця Довженка,23
48.907574,24.684667,48.907581,24.684667,АС-3 (в центр),23
48.907387,24.684153,48.907386,24.68415,АС-3,23
48.905096,24.682173,48.905097,24.682176,Кільце вулиця Довженка,23
48.903064,24.688456,48.903067,24.68845,"Магазин ""Заравшан""",23
48.90342,24.694693,48.903426,24.694681,Церква,23
48.90334,24.698317,48.903341,24.698316,Кільце вулиця Петлюри,23
48.902636,24.702055,48.90263,24.702066,УТОС,23
48.901839,24.709143,48.901837,24.709155,Хлібокомбінат,23
48.902311,24.713222,48.902308,24.713213,"ТЦ ""Велмарт""(в місто)",23
48.906411,24.712789,48.906412,24.712784,Дитяча лікарня (в місто),23
48.90823,24.711928,48.908229,24.711921,Аптека,23
48.913235,24.709757,48.913235,24.709757,вулиця Військова(в місто),23
48.918372,24.710995,48.918372,24.710995,вулиця Є.Коновальця(в місто),23
48.919672,24.707547,48.919664,24.707539,Головна пошта,23
48.923199,24.706815,48.923201,24.706816,Бастіон,23
48.92494,24.710686,48.92494,24.710686,"""ЦУМ"" вулиця Дністровська",23
48.92582,24.713051,48.92582,24.713051,Ринок,23
48.92355,24.720589,48.923546,24.720587,вулиця Гаркуші,23
48.925857,24.722887,48.925855,24.722874,Вокзал (в бік Пасічної),23
48.925624,24.728731,48.925621,24.728725,Гаражі (вулиця Г.Хоткевича),23
48.924538,24.733179,48.924541,24.733176,вулиця Української Дивізії,23
48.923874,24.736598,48.923868,24.736598,Базар,23
48.884246,24.738173,48.884238,24.738175,селище Хриплин,24
48.876648,24.728609,48.876653,24.728611,Садове товариство,24
48.866888,24.718192,48.866888,24.718196,вулиця Грушевського,24
48.865388,24.7134,48.865387,24.713401,вулиця Хриплинська,24
48.873021,24.706102,48.873015,24.706103,СТО(в місто),24
48.876373,24.706791,48.876375,24.706787,АЗС(в місто),24
48.880879,24.709252,48.880874,24.709253,селище Опришівці - центр (в  місто),24
48.884991,24.710547,48.884993,24.710552,селище Опришівці (в місто),24
48.88819,24.711219,48.888189,24.711209,Аеропорт (в центр),24
48.89309,24.713059,48.893091,24.713057,вулиця Рильського(в місто),24
48.896556,24.713158,48.896553,24.713161,"ПАТ ""Арматурний завод"" (в місто)",24
48.900088,24.713176,48.90009,24.71317,"КП ""Водоекотехпром""(в місто)",24
48.902311,24.713222,48.902308,24.713213,"ТЦ ""Велмарт""(в місто)",24
48.906411,24.712789,48.906412,24.712784,Дитяча лікарня (в місто),24
48.90823,24.711928,48.908229,24.711921,Аптека,24
48.913235,24.709757,48.913235,24.709757,вулиця Військова(в місто),24
48.918372,24.710995,48.918372,24.710995,вулиця Є.Коновальця(в місто),24
48.918853,24.713774,48.918854,24.713773,Обласна друкарня,24
48.920663,24.719585,48.920659,24.719588,на вимогу,24
48.925857,24.722887,48.925855,24.722874,Вокзал (в бік Пасічної),24
48.929588,24.722347,48.929585,24.722343,вулиця Сагайдачного,24
48.933191,24.720872,48.933192,24.720875,вулиця Урожайна,24
48.939308,24.721726,48.939306,24.721727,РЕМ,24
48.943183,24.724952,48.94318,24.724948,"ВАТ ""Індуктор""",24
48.942473,24.730618,48.942471,24.730619,Коледж,24
48.938828,24.728972,48.938831,24.728974,вулиця Б. Хмельницького,24
48.936531,24.726833,48.936533,24.726834,вулиця Радищева,24
48.931945,24.723527,48.931944,24.723526,вулиця Гуцульська,24
48.926259,24.716631,48.926259,24.716631,Крок,24
48.925327,24.719078,48.925333,24.71907,Суд,24
48.924573,24.723276,48.924567,24.723274,Вокзал (в бік ЄП),24
48.920643,24.71945,48.920643,24.71945,вулиця Б. Лепкого,24
48.918739,24.717382,48.91874,24.717379,"готель ""Надія""",24
48.917445,24.710843,48.917443,24.710845,вулиця Є. Коновальця,24
48.913048,24.709738,48.913048,24.709738,вулиця Військова,24
48.909959,24.710996,48.909959,24.710995,вулиця Національної гвардії,24
48.907438,24.712202,48.907442,24.712195,Дитяча лікарня,24
48.902939,24.713082,48.902935,24.71309,"ТЦ ""Велмарт""",24
48.884343,24.710282,48.884335,24.710277,Опришівці,24
48.89971,24.71306,48.899708,24.713064,"КП ""Водоекотехпром""",24
48.896195,24.713047,48.896196,24.713045,"ПАТ ""Арматурний завод""",24
48.892581,24.712797,48.892578,24.712793,вулиця Рильського,24
48.88843,24.711152,48.888429,24.711142,Аеропорт,24
48.867101,24.719104,48.867097,24.719109,вулиця М. Грушевського,24
48.880385,24.70874,48.880385,24.708738,Опришівці-центр,24
48.875816,24.706566,48.875814,24.706565,АЗС,24
48.872327,24.70588,48.87234,24.70588,СТО,24
48.865157,24.712939,48.86515,24.712938,вулиця Хриплинська,24
48.876434,24.728569,48.876429,24.728573,Садове товариство,24
48.949859,24.711541,48.949859,24.711541,ТРОЛЕЙБУСНЕ ДЕПО,25
48.949162,24.708802,48.949153,24.708799,Депо,25
48.947391,24.704247,48.947386,24.704245,вулиця Тролейбусна,25
48.944896,24.700416,48.944896,24.700416,Школа №18,25
48.941934,24.698204,48.941935,24.698204,"р-н ""Овен""",25
48.934045,24.706639,48.934045,24.706639,Музична школа,25
48.932138,24.69969,48.932137,24.699692,вулиця Пулюя,25
48.929518,24.70374,48.929521,24.703741,на вимогу,25
48.927776,24.701481,48.927777,24.70148,Поліклініка №2,25
48.923917,24.701561,48.923907,24.701557,на вимогу,25
48.922678,24.705437,48.922694,24.705404,Аптека,25
48.918771,24.702007,48.918769,24.702007,вулиця Гординського,25
48.914569,24.702506,48.914574,24.702516,Університет,25
48.912591,24.704405,48.91264,24.704462,Парк ім. Шевченка,25
48.909959,24.710996,48.909959,24.710995,вулиця Національної гвардії,25
48.907438,24.712202,48.907442,24.712195,Дитяча лікарня,25
48.90535,24.718105,48.905351,24.718104,Ритуальні послуги,25
48.904661,24.724175,48.904658,24.724168,Продовольча база,25
48.904192,24.727798,48.904244,24.727788,вулиця Ребета,25
48.900543,24.724071,48.900538,24.724065,Меблева фабрика,25
48.902558,24.718949,48.902558,24.718946,вулиця Дудаєва,25
48.906411,24.712789,48.906412,24.712784,Дитяча лікарня (в місто),25
48.90823,24.711928,48.908229,24.711921,Аптека,25
48.915035,24.703548,48.915038,24.703542,Університет,25
48.918442,24.707166,48.918437,24.707167,на вимогу,25
48.919672,24.707547,48.919664,24.707539,Головна пошта,25
48.923199,24.706815,48.923201,24.706816,Бастіон,25
48.92536,24.709875,48.925363,24.709877,ЦУМ,25
48.932098,24.707751,48.932098,24.707751,"""Княгинин""",25
48.93466,24.70646,48.934663,24.706458,на вимогу,25
48.941325,24.703636,48.941321,24.703638,вулиця Целевича,25
48.943571,24.703594,48.943571,24.703592,на вимогу,25
48.946115,24.704273,48.94612,24.70427,"магазин ""Тростянецький""",25
48.947153,24.703996,48.947153,24.703989,вулиця Тролейбусна,25
48.949143,24.708994,48.949142,24.709001,Депо,25
48.924573,24.723276,48.924567,24.723274,Вокзал (в бік ЄП),26
48.920643,24.71945,48.920643,24.71945,вулиця Б. Лепкого,26
48.918739,24.717382,48.91874,24.717379,"готель ""Надія""",26
48.918233,24.706897,48.918234,24.706895,вулиця Чорновола,26
48.914569,24.702506,48.914574,24.702516,Університет,26
48.911994,24.699723,48.911995,24.699722,Парк ім. Шевченка,26
48.907045,24.698305,48.907046,24.698306,"Стадіон ""Рух""",26
48.904259,24.697588,48.904262,24.697581,Школа-інтернат,26
48.90346,24.693989,48.903457,24.693986,Церква,26
48.903108,24.687627,48.903107,24.68763,Обласний призовний пункт,26
48.904977,24.682473,48.904976,24.682477,Кільце вулиця Довженка,26
48.907387,24.684153,48.907386,24.68415,АС-3,26
48.910498,24.677972,48.910494,24.677969,вулиця 24 Серпня,26
48.913441,24.676575,48.913443,24.676566,вулиця Садова,26
48.919941,24.679158,48.91994,24.679142,на вимогу,26
48.922745,24.683091,48.922743,24.683084,Гаражі,26
48.925132,24.685113,48.925131,24.685109,вулиця Ясинських,26
48.928492,24.688552,48.928497,24.688548,Центр дозвілля,26
48.934354,24.69601,48.934354,24.696011,на вимогу,26
48.935807,24.702824,48.935807,24.702824,Набережна,26
48.934045,24.706639,48.934045,24.706639,Музична школа,26
48.931193,24.708088,48.931193,24.708086,Швейна фабрика,26
48.92714,24.709515,48.92714,24.709515,вулиця Військових Ветеранів,26
48.92494,24.710686,48.92494,24.710686,"""ЦУМ"" вулиця Дністровська",26
48.92582,24.713051,48.92582,24.713051,Ринок,26
48.926208,24.716751,48.926202,24.716749,КРОК,26
48.905463,24.733257,48.905448,24.733252,вулиця Микитинецька,26А
48.91476,24.739245,48.914762,24.73924,Провулок,26А
48.916295,24.733237,48.916299,24.733232,Школа №15,26А
48.918048,24.72198,48.918048,24.72198,"кінотеатр ""Космос""",26А
48.919672,24.707547,48.919664,24.707539,Головна пошта,26А
48.923199,24.706815,48.923201,24.706816,Бастіон,26А
48.92536,24.709875,48.925363,24.709877,ЦУМ,26А
48.932098,24.707751,48.932098,24.707751,"""Княгинин""",26А
48.93466,24.70646,48.934663,24.706458,на вимогу,26А
48.940222,24.701047,48.940222,24.701047,вулиця Целевича,26А
48.943246,24.696394,48.943245,24.69639,вулиця Пасічна,26А
48.944366,24.691472,48.944366,24.691472,АС-2,26А
48.94864,24.696203,48.94864,24.696203,Радіозавод - вулиця Хіміків,26А
48.947463,24.70152,48.947464,24.701525,вулиця Хіміків - Тролейбусна,26А
48.944896,24.700416,48.944896,24.700416,Школа №18,26А
48.941934,24.698204,48.941935,24.698204,"р-н ""Овен""",26А
48.934045,24.706639,48.934045,24.706639,Музична школа,26А
