lat_ctr,lng_ctr,lat_pt,lng_pt,StopName
48.912042,24.699881,48.912045,24.69988,парк ім. Шевченка
48.915035,24.703548,48.915038,24.703542,Університет
48.918442,24.707166,48.918437,24.707167,на вимогу
48.919672,24.707547,48.919664,24.707539,Головна пошта
48.923199,24.706815,48.923201,24.706816,Бастіон
48.92494,24.710686,48.92494,24.710686,"""ЦУМ"" вулиця Дністровська"
48.917445,24.710843,48.917443,24.710845,вулиця Є. Коновальця
48.913048,24.709738,48.913048,24.709738,вулиця Військова
48.909959,24.710996,48.909959,24.710995,вулиця Національної гвардії
48.907438,24.712202,48.907442,24.712195,Дитяча лікарня
48.902939,24.713082,48.902935,24.71309,"ТЦ ""Велмарт"""
48.89971,24.71306,48.899708,24.713064,"КП ""Водоекотехпром"""
48.896195,24.713047,48.896196,24.713045,"ПАТ ""Арматурний завод"""
48.892581,24.712797,48.892578,24.712793,вулиця Рильського
48.88843,24.711152,48.888429,24.711142,Аеропорт
48.884343,24.710282,48.884335,24.710277,Опришівці
48.880385,24.708745,48.880391,24.70875,селище Опришківці - центр
48.875816,24.706566,48.875814,24.706565,АЗС
48.872327,24.70588,48.87234,24.70588,СТО
48.869156,24.702288,48.869153,24.702291,Психоневрологічний диспансер
48.867587,24.696705,48.867583,24.696708,Онкодиспансер
48.922857,24.741882,48.922856,24.741885,вулиця Г. Хоткевича (кінцева)
48.923659,24.737718,48.923658,24.737723,Ринок (в центр)
48.924707,24.732664,48.924705,24.732659,вулиця Української дивізії
48.926864,24.726598,48.926865,24.726603,вулиця Старицького
48.92536,24.709875,48.925363,24.709877,ЦУМ
48.925624,24.728731,48.925621,24.728725,Гаражі (вулиця Г.Хоткевича)
48.924538,24.733179,48.924541,24.733176,вулиця Української Дивізії
48.923874,24.736598,48.923868,24.736598,Базар
48.92294,24.741078,48.922934,24.741078,вулиця Хоткевича
48.918233,24.706897,48.918234,24.706895,вулиця Чорновола
48.914569,24.702506,48.914574,24.702516,Університет
48.911994,24.699723,48.911995,24.699722,Парк ім. Шевченка
48.907045,24.698305,48.907046,24.698306,"Стадіон ""Рух"""
48.904259,24.697588,48.904262,24.697581,Школа-інтернат
48.90346,24.693989,48.903457,24.693986,Церква
48.903108,24.687627,48.903107,24.68763,Обласний призовний пункт
48.904977,24.682473,48.904976,24.682477,Кільце вулиця Довженка
48.907574,24.684667,48.907581,24.684667,АС-3 (в центр)
48.907387,24.684153,48.907386,24.68415,АС-3
48.905096,24.682173,48.905097,24.682176,Кільце вулиця Довженка
48.903064,24.688456,48.903067,24.68845,"Магазин ""Заравшан"""
48.90342,24.694693,48.903426,24.694681,Церква
48.90334,24.698317,48.903341,24.698316,Кільце вулиця Петлюри
48.902636,24.702055,48.90263,24.702066,УТОС
48.901839,24.709143,48.901837,24.709155,Хлібокомбінат
48.902311,24.713222,48.902308,24.713213,"ТЦ ""Велмарт""(в місто)"
48.906411,24.712789,48.906412,24.712784,Дитяча лікарня (в місто)
48.90823,24.711928,48.908229,24.711921,Аптека
48.913235,24.709757,48.913235,24.709757,вулиця Військова(в місто)
48.918372,24.710995,48.918372,24.710995,вулиця Є.Коновальця(в місто)
48.884246,24.738173,48.884238,24.738175,селище Хриплин
48.876648,24.728609,48.876653,24.728611,Садове товариство
48.866888,24.718192,48.866888,24.718196,вулиця Грушевського
48.865388,24.7134,48.865387,24.713401,вулиця Хриплинська
48.918853,24.713774,48.918854,24.713773,Обласна друкарня
48.929588,24.722347,48.929585,24.722343,вулиця Сагайдачного
48.933191,24.720872,48.933192,24.720875,вулиця Урожайна
48.939308,24.721726,48.939306,24.721727,РЕМ
48.943183,24.724952,48.94318,24.724948,"ВАТ ""Індуктор"""
48.942473,24.730618,48.942471,24.730619,Коледж
48.938828,24.728972,48.938831,24.728974,вулиця Б. Хмельницького
48.936531,24.726833,48.936533,24.726834,вулиця Радищева
48.931945,24.723527,48.931944,24.723526,вулиця Гуцульська
48.925327,24.719078,48.925333,24.71907,Суд
48.867101,24.719104,48.867097,24.719109,вулиця М. Грушевського
48.880385,24.70874,48.880385,24.708738,Опришівці-центр
48.865157,24.712939,48.86515,24.712938,вулиця Хриплинська
48.876434,24.728569,48.876429,24.728573,Садове товариство
48.932138,24.69969,48.932137,24.699692,вулиця Пулюя
48.929518,24.70374,48.929521,24.703741,на вимогу
48.927776,24.701481,48.927777,24.70148,Поліклініка №2
48.923917,24.701561,48.923907,24.701557,на вимогу
48.922678,24.705437,48.922694,24.705404,Аптека
48.918771,24.702007,48.918769,24.702007,вулиця Гординського
48.912591,24.704405,48.91264,24.704462,Парк ім. Шевченка
48.90535,24.718105,48.905351,24.718104,Ритуальні послуги
48.904661,24.724175,48.904658,24.724168,Продовольча база
48.904192,24.727798,48.904244,24.727788,вулиця Ребета
48.900543,24.724071,48.900538,24.724065,Меблева фабрика
48.902558,24.718949,48.902558,24.718946,вулиця Дудаєва
48.93466,24.70646,48.934663,24.706458,на вимогу
48.941325,24.703636,48.941321,24.703638,вулиця Целевича
48.943571,24.703594,48.943571,24.703592,на вимогу
48.946115,24.704273,48.94612,24.70427,"магазин ""Тростянецький"""
48.910498,24.677972,48.910494,24.677969,вулиця 24 Серпня
48.913441,24.676575,48.913443,24.676566,вулиця Садова
48.919941,24.679158,48.91994,24.679142,на вимогу
48.922745,24.683091,48.922743,24.683084,Гаражі
48.925132,24.685113,48.925131,24.685109,вулиця Ясинських
48.928492,24.688552,48.928497,24.688548,Центр дозвілля
48.934354,24.69601,48.934354,24.696011,на вимогу
48.935807,24.702824,48.935807,24.702824,Набережна
48.905463,24.733257,48.905448,24.733252,вулиця Микитинецька
48.91476,24.739245,48.914762,24.73924,Провулок
48.914732,24.739111,48.914733,24.73911,Провулок
48.937208,24.753549,48.93721,24.753547,"""Каскад"" КОНТРОЛЬНА"
48.93277,24.742906,48.93277,24.742906,вулиця Івасюка
48.932095,24.740367,48.932098,24.740367,вулиця Івана-Павла ІІ
48.931184,24.734452,48.931183,24.734453,вулиця Молодіжна
48.928655,24.730343,48.928655,24.730342,вулиця Селянська
48.927387,24.725803,48.927382,24.725799,вулиця Деповська
48.928522,24.723062,48.928519,24.723062,вулиця Вовчинецька
48.933272,24.705119,48.933272,24.705119,вулиця Пулюя
48.930096,24.704873,48.930096,24.704873,вулиця Берегова
48.926853,24.699991,48.926854,24.699992,Набережна
48.925077,24.69811,48.925077,24.69811,вулиця Бельведерська
48.923405,24.694439,48.923406,24.694442,"магазин ""Озерянка"""
48.92193,24.701682,48.921927,24.701681,вулиця В.Великого
48.926588,24.715714,48.926594,24.715741,вулиця Василіянок
48.924596,24.723366,48.924596,24.723366,вулиця Привокзальна
48.927508,24.726553,48.927508,24.726553,на вимогу
48.931282,24.734915,48.931279,24.734922,вулиця Молодіжна
48.932002,24.739181,48.932002,24.739181,вулиця Івана-Павла ІІ
48.938813,24.750136,48.938808,24.750135,вулиця Бугая
48.941093,24.746064,48.941091,24.746059,Золота нива
48.940987,24.740503,48.940984,24.740502,"ВАТ ""Родон"""
48.939412,24.73877,48.939416,24.738728,"ТРЦ ""Велес"""
48.936389,24.735195,48.936389,24.735197,"магазин ""Кобзарик""(в місто)"
48.933536,24.730568,48.933537,24.730572,"магазин ""Веселка""(в місто)"
48.931435,24.727014,48.931434,24.727015,Школа №16
48.914871,24.697482,48.914874,24.697497,Міська лікарня
48.910773,24.690678,48.910773,24.690678,Коледж фізичного виховання
48.930781,24.72607,48.930777,24.726061,Костел
48.933347,24.73041,48.933353,24.730405,"магазин ""Веселка"""
48.936131,24.735037,48.936131,24.73503,"магазин ""Кобзарик"""
48.942272,24.696405,48.942274,24.696403,на вимогу
48.921062,24.700918,48.921056,24.700909,вулиця К.Данила
48.923998,24.701553,48.923998,24.701555,Школа №4
48.925098,24.698106,48.925098,24.698106,Музична школа
48.93227,24.700598,48.932267,24.700611,Університет
